text,label
"यह एक समाज में विवादित विषय है।",2
"आपसी समर्थन और सहयोग की बजाय अपराध का मार्ग न चुनें।",1
"महिलाओं के प्रति लिंग भेद का समापन करना आवश्यक है।",3
"नस्लीय और जातिगत भेद के खिलाफ हमें मिलकर काम करना होगा।",4
"सामाजिक-आर्थिक भेद के खिलाफ उच्चायुक्ति की जरुरत है।",5
"आयु भेद की ओर बढ़ते समय को जानकारी और समझ के साथ नियंत्रित करें।",6
"सांस्कृतिक भेद के खिलाफ जागरूकता फैलाएं।",7
"राजनीतिक भेद का सामना करने के लिए सकारात्मक कदम उठाएं।",8
"धार्मिक भेद के खिलाफ ताक़त बनाएं और शांति को प्रमोट करें।",9
"क्षेत्रीय भेद के खिलाफ समाज को एकजुट रहना चाहिए।",10
"विकलांगता भेद के खिलाफ समर्थन दें और समझाएं।",11
"हमें समाज में न्याय और बिना पक्षपात के जीने का समर्थन करना होगा।",0
"अपराध के खिलाफ कठिन कदम उठाने की आवश्यकता है।",1
"लिंग भेद के खिलाफ समुदाय को जागरूक करना होगा।",3
"नस्लीय और जातिगत भेद को दूर करने के लिए साझा कदम उठाएं।",4
"सामाजिक-आर्थिक भेद के खिलाफ उच्चायुक्ति का समर्थन करें।",5
"आयु भेद के खिलाफ समाज को सशक्त करना होगा।",6
"सांस्कृतिक भेद के खिलाफ जागरूकता फैलाएं।",7
"राजनीतिक भेद का सामना करने के लिए सकारात्मक कदम उठाएं।",8
"धार्मिक भेद के खिलाफ ताक़त बनाएं और शांति को प्रमोट करें।",9
"क्षेत्रीय भेद के खिलाफ समाज को एकजुट रहना चाहिए।",10
"विकलांगता भेद के खिलाफ समर्थन दें और समझाएं।",11
"हमें समाज में न्याय और बिना पक्षपात के जीने का समर्थन करना होगा।",0
"अपराध के खिलाफ कठिन कदम उठाने की आवश्यकता है।",1
"लिंग भेद के खिलाफ समुदाय को जागरूक करना होगा।",3
"नस्लीय और जातिगत भेद को दूर करने के लिए साझा कदम उठाएं।",4
"सामाजिक-आर्थिक भेद के खिलाफ उच्चायुक्ति का समर्थन करें।",5
"आयु भेद के खिलाफ समाज को सशक्त करना होगा।",6
"सांस्कृतिक भेद के खिलाफ जागरूकता फैलाएं।",7
"राजनीतिक भेद का सामना करने के लिए सकारात्मक कदम उठाएं।",8
"धार्मिक भेद के खिलाफ ताक़त बनाएं और शांति को प्रमोट करें।",9
"क्षेत्रीय भेद के खिलाफ समाज को एकजुट रहना चाहिए।",10
"विकलांगता भेद के खिलाफ समर्थन दें और समझाएं।",11
"हमें समाज में न्याय और बिना पक्षपात के जीने का समर्थन करना होगा।",0
"अपराध के खिलाफ कठिन कदम उठाने की आवश्यकता है।",1
