text,label
यह एक समाज में विवादित विषय है।,2
आपसी समर्थन और सहयोग की बजाय अपराध का मार्ग न चुनें।,1
महिलाओं के प्रति लिंग भेद का समापन करना आवश्यक है।,3
नस्लीय और जातिगत भेद के खिलाफ हमें मिलकर काम करना होगा।,4
सामाजिक-आर्थिक भेद के खिलाफ उच्चायुक्ति की जरुरत है।,5
आयु भेद की ओर बढ़ते समय को जानकारी और समझ के साथ नियंत्रित करें।,6
सांस्कृतिक भेद के खिलाफ जागरूकता फैलाएं।,7
राजनीतिक भेद का सामना करने के लिए सकारात्मक कदम उठाएं।,8
धार्मिक भेद के खिलाफ ताक़त बनाएं और शांति को प्रमोट करें।,9
क्षेत्रीय भेद के खिलाफ समाज को एकजुट रहना चाहिए।,10
विकलांगता भेद के खिलाफ समर्थन दें और समझाएं।,11
हमें समाज में न्याय और बिना पक्षपात के जीने का समर्थन करना होगा।,0
अपराध के खिलाफ कठिन कदम उठाने की आवश्यकता है।,1
लिंग भेद के खिलाफ समुदाय को जागरूक करना होगा।,3
नस्लीय और जातिगत भेद को दूर करने के लिए साझा कदम उठाएं।,4
सामाजिक-आर्थिक भेद के खिलाफ उच्चायुक्ति का समर्थन करें।,5
आयु भेद के खिलाफ समाज को सशक्त करना होगा।,6
"वाणिज्यिक व्यापारों में न केवल वित्तीय आधार पर भेदभाव होना चाहिए, बल्कि लिंग के आधार पर भी नहीं होना चाहिए।",3
एक समुदाय के सभी सदस्यों को सामाजिक-आर्थिक समानता का हक है।,5
जवानों के लिए नौकरी प्राप्त करने में उम्र का भेद करना गलत है।,6
"हमें अपनी सांस्कृतिक मूलों के साथ गर्व करना चाहिए, लेकिन इसका मतलब है कि हमें अन्य सांस्कृतिकों को भी समझना चाहिए।",7
राजनीतिक प्रतिद्वंद्व के बजाय सहमति की दिशा में कदम बढ़ाएं।,8
हर धर्म के अनुयायियों को समझने और समर्थन देने की आवश्यकता है।,9
विभिन्न क्षेत्रों में भारत में समृद्धि के लिए समानता बढ़ाने के उपाय ढूंढें।,10
विकलांग लोगों को उनके कौशलों और योग्यता के आधार पर मौके देने की आवश्यकता है।,11
सभी नागरिकों को समाज में समान अधिकार और विशेष अधिकार मिलने चाहिए।,0
"जब भी कोई अपराध करता है, उसे सजा मिलनी चाहिए, बिना किसी भेदभाव के।",1
"लिंग भेद को बढ़ावा नहीं देना चाहिए, बल्कि समाज में समानता को प्रोत्साहित करना चाहिए।",3
रंग और जाति के आधार पर किसी को नकारात्मक दृष्टिकोण से नहीं देखा जाना चाहिए।,4
समृद्धि और गरीबी के बीच का भेदभाव कम करने के लिए सरकार को कदम उठाना चाहिए।,5
